source_id,parallax (mas),parallax_error (mas),pf (days),pf_error (days),int_average_g (mag),int_average_g_error (mag),absolute magnitude / mag,luminosity/watts
4042776643265540000,0.09,0.03,14.20873283,0.00,14.38,0.00,-0.863164999,1.36569E+28
4042801352297550000,0.08,0.02,12.11870733,0.01,13.62,0.01,-2.001341313,4.81125E+27
5972868631794510000,0.218887064,0.08,15.08117517,0.00,14.04,0.01,0.737050481,5.92082E+28
5973016829661630000,0.296702037,0.02,14.56709083,0.00,13.96,0.00,1.318963636,1.00934E+29
5973058817250900000,0.132753585,0.04,5.916908728,4.74E-04,13.60,9.76E-04,-0.785061715,1.46705E+28
4307944836090480000,0.487140889,0.02,7.239183949,0.00,9.34,0.01,-2.225739078,3.91677E+27
4077463074025120000,0.07,0.02,9.205273871,0.00,13.94,0.00,-1.694470543,6.37412E+27
4760493479751820000,0.00,0.04,15.70802716,0.00,16.15,0.06,-5.972461534,1.26298E+26
4766643426242060000,0.24620856,0.01,109.3636268,0.47,9.86,0.01,-3.185328261,1.62527E+27
5832238384516060000,0.10,0.01,6.18751462,5.26E-04,13.85,8.44E-04,-1.19038425,1.01179E+28
1999252442448730000,0.329708156,0.01,12.13703117,0.00,9.34,0.01,-3.069899545,1.80666E+27
4062903822285620000,0.122752344,0.05,1.684462639,4.45E-05,16.16,0.00,1.605844972,1.31292E+29
5882388209429060000,0.21416468,0.03,4.863863693,2.16E-04,15.45,0.00,2.100448246,2.06603E+29
5882392057720490000,0.100434539,0.09,3.700958504,2.02E-04,17.38,0.02,2.387238445,2.68723E+29
4156450099578280000,0.52,0.02,10.34181268,7.38E-04,8.87,0.03,-2.559504244,2.88443E+27
4156512776053860000,0.103608232,0.20,23.03135375,0.01,16.76,0.01,1.839443307,1.62642E+29
4156537721224120000,0.159377962,0.06,13.20250918,0.00,13.37,0.02,-0.616526651,1.71213E+28
2189424042310220000,0.10,0.02,10.94412239,6.61E-04,15.33,0.00,0.288881783,3.92619E+28
4152072840713180000,0.021940149,0.05,2.936851731,2.43E-05,16.11,0.01,-2.188009185,4.0546E+27
4152404446547950000,0.08,0.18,19.75114634,0.01,18.03,0.01,2.454703263,2.85865E+29
4368928561286580000,0.060079432,0.02,13.59494085,0.00,14.16,0.01,-1.950531892,5.04063E+27
4368940857773780000,0.09,0.02,18.75825907,0.01,13.64,0.02,-1.635220693,6.72987E+27
4368941549268280000,0.04,0.02,12.08442678,0.00,14.15,0.00,-2.945121889,2.02558E+27
5901341693879660000,0.105563197,0.02,20.46023335,0.05,13.08,0.02,-1.801437336,5.7788E+27
6070481457342300000,0.233339528,0.02,1.950046058,1.07E-04,12.71,0.00,-0.454781429,1.98576E+28
4578416175261110000,0.160688408,0.01,12.56344801,0.00,12.26,0.00,-1.710393259,6.28176E+27
5828480459918670000,1.016179433,0.02,1.94605094,8.97E-06,9.63,9.57E-04,-0.333661996,2.21893E+28
4360377693711960000,0.23252313,0.03,0.811681672,9.51E-07,14.71,0.00,1.544138806,1.24072E+29
4119634915613580000,0.05,0.05,13.93763509,0.00,16.18,0.01,-0.180052837,2.55443E+28
5277808374864070000,0.06,0.02,6.74,7.25E-04,15.12,0.00,-1.174960698,1.0262E+28
5278221481999140000,0.031378824,0.09,2.752859159,5.02E-05,17.95,0.01,0.432961295,4.48051E+28
5278302089946910000,0.034399439,0.03,4.055659416,9.89E-05,15.62,0.00,-1.693086195,6.38221E+27
5278352426964440000,0.025698058,0.03,3.818201301,4.41E-04,15.65,0.02,-2.302966942,3.64909E+27
5278432004118550000,0.030479828,0.05,0.912984666,1.38E-06,16.84,3.25E-04,-0.742685468,1.52516E+28
5278547624636470000,0.01,0.04,14.97358685,0.00,16.34,0.01,-3.054113043,1.83299E+27
5278581121081050000,0.014181547,0.07,1.581812843,5.48E-06,17.53,0.00,-1.713031897,6.26658E+27
5278607582381410000,0.01,0.03,1.996722456,2.28E-04,15.78,0.01,-4.579895878,4.52651E+26
5329405672431380000,0.07,0.01,3.670656547,8.13E-05,13.96,0.00,-1.803507165,5.76785E+27
5329553797268120000,0.04,0.01,3.628896294,8.97E-05,13.64,0.00,-3.40247228,1.33193E+27
5329713123372080000,0.08,0.02,3.611035731,9.10E-05,14.13,0.01,-1.285115034,9.27641E+27
5329838158460390000,0.490180017,0.02,9.550744746,3.84E-04,8.00,0.00,-3.552757686,1.16053E+27
5329899043907710000,0.136650838,0.01,11.91983494,0.00,13.07,0.00,-1.24840051,9.59391E+27
5329939274854210000,0.199507171,0.02,5.875260736,1.12E-04,12.87,0.00,-0.627880449,1.69441E+28
5329974119937790000,0.196517299,0.01,3.139584197,5.16E-05,13.46,0.00,-0.075603071,2.81108E+28
5329979892374930000,0.05,0.02,10.7384535,0.00,14.90,0.01,-1.541861108,7.33115E+27
3425576270732290000,0.284219101,0.02,2.634716316,1.50E-04,11.56,0.03,-1.169929692,1.03094E+28
4064791928366710000,0.10,0.03,12.77924989,0.00,14.04,0.01,-0.969831875,1.23848E+28
4064797219817760000,0.09,0.04,3.126863983,1.64E-04,15.43,0.01,0.293098056,3.94139E+28
4087335043492540000,0.05,0.02,13.77465337,0.00,12.50,0.01,-3.98791642,7.78796E+26
5867251679452870000,0.315245445,0.02,4.948229393,1.12E-04,13.03,5.62E-04,0.524950102,4.87469E+28
4650810494740140000,0.01,0.03,3.215881318,6.03E-05,16.05,0.00,-5.138675389,2.71218E+26
4650826983115650000,0.03296003,0.04,2.709419478,5.31E-05,16.30,0.00,-1.112078993,1.08709E+28
4650978823122430000,0.01,0.03,4.727335463,9.12E-04,15.50,0.01,-4.504686272,4.84957E+26
4650980850346870000,0.046847051,0.02,5.447435585,2.04E-04,15.18,0.01,-1.466141715,7.85806E+27
4650985282752740000,0.01983738,0.04,2.387216432,2.28E-05,16.51,0.00,-2.00571544,4.792E+27
4651019569454480000,0.09,0.07,1.357573619,3.17E-05,17.53,0.02,2.232300913,2.33144E+29
4651020222375080000,0.049116067,0.03,3.158945743,2.44E-04,16.12,0.01,-0.420616065,2.04893E+28
4651043488158790000,0.01,0.03,4.608199188,5.20E-05,15.48,0.00,-4.309458946,5.79991E+26
4651052284252610000,0.023701259,0.03,3.686676734,6.54E-05,15.85,0.00,-2.2753049,3.7428E+27
4651056682298840000,0.038493046,0.03,4.0346848,5.57E-05,16.00,0.00,-1.073004635,1.12673E+28
4271221697438040000,0.103550076,0.02,11.07458029,0.01,13.99,0.02,-0.931816889,1.2824E+28
4271257706443970000,0.08,0.09,1.29960593,9.59E-06,17.38,0.00,1.964664364,1.82424E+29
4272044475728300000,0.163693421,0.14,1.014608469,1.24E-05,18.12,0.00,4.189293123,1.40179E+30
5862634142964450000,0.013567321,0.03,3.368808332,5.80E-05,15.81,0.00,-3.52764653,1.18755E+27
5862684853590560000,0.05,0.17,3.721113318,1.96E-04,18.81,0.01,2.25125036,2.3723E+29
5862685437706120000,0.03,0.10,7.648032717,4.85E-04,17.54,0.00,-0.093715187,2.7648E+28
5862711040048310000,0.308703572,0.02,24.06233994,0.00,11.20,0.00,-1.351748724,8.72677E+27
5862720214099400000,0.026204893,0.02,29.69059901,0.00,13.31,0.00,-4.596005006,4.46016E+26
5862736363140650000,0.052725126,0.03,6.684261438,1.69E-04,15.27,0.00,-1.11664985,1.08254E+28
6045677196574100000,0.192401216,0.02,12.9246743,0.00,12.41,0.01,-1.168226937,1.03255E+28
2038365781911990000,0.213103508,0.01,87.10130532,0.25,9.79,0.01,-3.565060006,1.14752E+27
4059339445913620000,0.05134333,0.05,7.17,0.00,15.97,0.01,-0.477467833,1.94489E+28
5937099633141120000,0.206227135,0.02,20.82078991,0.01,9.60,0.01,-3.828625955,9.0123E+26
5937186357109150000,0.149061438,0.03,3.094979459,3.92E-05,14.71,0.00,0.57495053,5.10331E+28
2045359534871080000,0.126920889,0.01,5.571901001,2.54E-04,10.46,0.00,-4.023467467,7.53827E+26
